aroma,flavor,after,acidity,body,mouthfeel,balance,uniformity,clean,sweet,overall,total,pass,random_id
7.75,7.75,7.5,7.5833333333333,7.8333333333333,0,7.5,10,10,10,7.5833333333333,83.5,1,344617
7.75,7.5,7.25,7.3333333333333,7.3333333333333,0,7.25,10,10,10,7.4166666666667,81.833333333333,1,674386
7.5,7.5833333333333,7.3333333333333,7.6666666666667,7.5833333333333,0,7.5833333333333,10,10,10,8.3333333333333,83.583333333333,1,324816
7.4166666666667,7.5833333333333,7.1666666666667,7.5833333333333,7.3333333333333,0,7.3333333333333,10,10,6.6666666666667,7.4166666666667,78.5,0,875590
7,6.75,6.75,7,6.9166666666667,0,6.9166666666667,10,10,10,7,78.333333333333,0,946016
7.5,7.6666666666667,7.4166666666667,7.75,7.5,0,7.4166666666667,10,10,10,7.4166666666667,82.666666666667,1,768342
7.5,7.3333333333333,7.0833333333333,7.5,7.4166666666667,0,7.4166666666667,10,10,10,7.3333333333333,81.583333333333,1,940171
7.4166666666667,7.4166666666667,7,7.5833333333333,7.3333333333333,0,7.25,10,10,10,7.1666666666667,81.166666666667,1,754562
7.25,7.4166666666667,7.0833333333333,7.5,7.25,0,7.25,10,10,10,7.25,81,1,427045
7.3333333333333,7.4166666666667,7.25,7.4166666666667,7.4166666666667,0,7.3333333333333,10,10,10,7.3333333333333,81.5,1,622529
7.4166666666667,7.5,7.4166666666667,7.5,7.5833333333333,0,7.4166666666667,10,10,10,7.3333333333333,82.166666666667,1,939929
7.3333333333333,7.5,7.4166666666667,7.5,7.3333333333333,0,7.25,10,10,10,7.3333333333333,81.666666666667,1,929099
7.4166666666667,7.6666666666667,7.3333333333333,7.5,7.3333333333333,0,7.25,10,10,10,7.5833333333333,82.083333333333,1,676419
7.75,7.75,7.75,7.5,7.5833333333333,0,7.6666666666667,10,10,10,7.6666666666667,83.666666666667,1,532954
8.1666666666667,8.1666666666667,8,8.1666666666667,8.0833333333333,0,7.9166666666667,10,10,10,8.0833333333333,86.583333333333,1,807582
7.9166666666667,8,7.5833333333333,7.6666666666667,8,0,7.6666666666667,10,10,10,7.75,84.583333333333,1,272937
7.9166666666667,7.9166666666667,7.75,7.6666666666667,7.6666666666667,0,7.75,10,10,10,7.75,84.416666666667,1,990730
8.0833333333333,8.0833333333333,7.8333333333333,7.6666666666667,7.6666666666667,0,7.6666666666667,10,10,10,7.9166666666667,84.916666666667,1,856523
